owner,bookNFT,tokenId,stakedAmount,claimable_raw,owed_raw,owed_like
0x9d22F2058b4EA321dE701c75fB907d806e5922BA,0x8EcBaA55E85429D968129207fad35f0d049424CA,0,10000000,111953855492370536,418346,0.418346
0x7D08f52539A8Fa695b474513437B1Ee8Bf5112d7,0x8EcBaA55E85429D968129207fad35f0d049424CA,52,510000000,5709646630049414792,21335665,21.335665
0xb903F6B23A14707Eb4D0FB4E31C4c4e28EDbB8e7,0x8EcBaA55E85429D968129207fad35f0d049424CA,57,100000000,1119538554923705360,4183463,4.183463
0x63252957c9f9a6E7D4558Fd7cC64Be55E8d38A81,0x8EcBaA55E85429D968129207fad35f0d049424CA,145,2000000000,22390771098103880340,83669276,83.669276
0xC6473A964F160B24576946d5c616caDE88B0465C,0x8EcBaA55E85429D968129207fad35f0d049424CA,162,212000000,2373421736388000000,8868943,8.868943
0x6bc21A147962a8399C82D50445a8B479e7817335,0x8EcBaA55E85429D968129207fad35f0d049424CA,259,10000000,111953855491164995,418346,0.418346
0x24cD9d885Fe462354E74BdC5361E0886441875DC,0x8EcBaA55E85429D968129207fad35f0d049424CA,284,10000000,111953855491164995,418346,0.418346
0x342Fd1B0d75966f88870cBbAD9CAf4AFa04998E6,0x8EcBaA55E85429D968129207fad35f0d049424CA,338,100000000,1119538554900000000,4183463,4.183463
0x955DA9462C4960Cf9aEd82B111c12FB13704e09a,0x8EcBaA55E85429D968129207fad35f0d049424CA,345,100000000,1119538554911649959,4183463,4.183463
0x625B192B5019bcA08F4C312ba4319203e5e07e94,0x8EcBaA55E85429D968129207fad35f0d049424CA,376,20000000,223907710980000000,836692,0.836692
0x895383ad6b172E00DB94c29d5a5C60D61dc5BB2d,0x8EcBaA55E85429D968129207fad35f0d049424CA,387,1000000,11195385549116499,41834,0.041834
0xE0B429Fd64880A49DF7e488722e676d51D13Ed34,0x8EcBaA55E85429D968129207fad35f0d049424CA,388,100000000,1119538554911649959,4183463,4.183463
0x1d1F6bEbaB8A03a09fd2E28A2D152a912d4D87c9,0x8EcBaA55E85429D968129207fad35f0d049424CA,389,100000000,1119538554911649959,4183463,4.183463
0x9Bd0787873B50990c14Ef9155D7a095753C22485,0x8EcBaA55E85429D968129207fad35f0d049424CA,545,25000000,279884638725000000,1045865,1.045865
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x8EcBaA55E85429D968129207fad35f0d049424CA,773,3000000,33586156647349498,125503,0.125503
0xe584099C39d0eaE355C6b0F003767DD53dFb8F6a,0x8EcBaA55E85429D968129207fad35f0d049424CA,820,1000000000,11195385549116499592,41834638,41.834638
0x3f31371E915efe4067C241b9dDC919919b6871c5,0x8EcBaA55E85429D968129207fad35f0d049424CA,859,5000000000,55976927745582497964,209173203,209.173203
0x874C506D93e1bc08d735730A2e20beD16CE5bDB9,0x8EcBaA55E85429D968129207fad35f0d049424CA,879,500000000,5597692774558249796,20917319,20.917319
0x78eDDc163275E9e254557313CaD83D88e680c99f,0x8EcBaA55E85429D968129207fad35f0d049424CA,1517,2,820042582,0,0.0
0x9d22F2058b4EA321dE701c75fB907d806e5922BA,0x334C13ABf78D5d29DDd32fca627179a5059B5814,1,10000000,1544144,1536615,1.536615
0xC3667DcAD0d71301E913b6cb8741538B7CFe251c,0x334C13ABf78D5d29DDd32fca627179a5059B5814,15,1000000000,87629489,87202229,87.202229
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x334C13ABf78D5d29DDd32fca627179a5059B5814,34,100000000,8762948,8720222,8.720222
0x7D08f52539A8Fa695b474513437B1Ee8Bf5112d7,0x334C13ABf78D5d29DDd32fca627179a5059B5814,50,1533392471,134370399,133715244,133.715244
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0x334C13ABf78D5d29DDd32fca627179a5059B5814,73,1000000000,0,0,0.0
0x3FfC07ED6a65E379E39Bef93e713ee3Ff77a56e4,0x334C13ABf78D5d29DDd32fca627179a5059B5814,85,10000000,1544144,1536615,1.536615
0xC4B2d5a6eDba534A848336173e4136f078E1b7ef,0x334C13ABf78D5d29DDd32fca627179a5059B5814,98,1000000000,0,0,0.0
0x47e6c59d1AA905Eb1e847c91E1248a35b8AC3ab4,0x334C13ABf78D5d29DDd32fca627179a5059B5814,164,100000000,8762948,8720222,8.720222
0x0686BcD9e5A94d9f0b29EA7Ce1887d8B2dA21e86,0x334C13ABf78D5d29DDd32fca627179a5059B5814,173,1000000000,87629489,87202229,87.202229
0x24cD9d885Fe462354E74BdC5361E0886441875DC,0x334C13ABf78D5d29DDd32fca627179a5059B5814,283,10000000,876294,872021,0.872021
0xEb2b2A2Ad1a726BcC17D43F7C198625fe8Fd7d16,0x334C13ABf78D5d29DDd32fca627179a5059B5814,324,107000000,9376355,9330638,9.330638
0xDfC4f3454cc725C0A025D29268e7D0A03e8401f8,0x334C13ABf78D5d29DDd32fca627179a5059B5814,342,100000000,8762948,8720222,8.720222
