owner,owed_raw,owed_like
0xd10bcb42c7b5381cbb278afc02ce0ddac76ccd4b,9716531621,9716.531621
0x3ffc07ed6a65e379e39bef93e713ee3ff77a56e4,6452943303,6452.943303
0xc3667dcad0d71301e913b6cb8741538b7cfe251c,4916183970,4916.18397
0x662a79fbc9ae681d7cd19a7275aa8b3187cca622,4350956823,4350.956823
0x36f322fc85b24ab13263cfe9217b28f8e2b38381,4090408624,4090.408624
0xea13e2a6c52ce61c506247267d15d3bba7caba53,3693200535,3693.200535
0x3f31371e915efe4067c241b9ddc919919b6871c5,2674041246,2674.041246
0xbca9846312aa78ab6f570ffadee22863b1163fc1,2097646371,2097.646371
0x310cffb4198ecbf3f1f9064846d7473e177621ae,1429286604,1429.286604
0x8f176d80f72ea56fbf61b5e56b84414689ea26ba,695588578,695.588578
0x66ad8d3e0db87ae882c1788e2cda9e31cdb4f013,640303795,640.303795
0xc4b2d5a6edba534a848336173e4136f078e1b7ef,578504021,578.504021
0xf0269c48252cd4c942a54f7c2e1a0d5870fdb348,564167710,564.16771
0x63252957c9f9a6e7d4558fd7cc64be55e8d38a81,525572114,525.572114
0xa17cf0b41dfa1c18ef832c486e084c962a997efe,443659704,443.659704
0xc6473a964f160b24576946d5c616cade88b0465c,400319145,400.319145
0xac770fe814f733a7c74f3698e9ff49b0acefda75,377661271,377.661271
0x64110f5bd00561cc7d1df17f8faf7168a80985ac,346884664,346.884664
0x874c506d93e1bc08d735730a2e20bed16ce5bdb9,338445482,338.445482
0x7ff3c36212f5b10846b7a2569b7b8a822a900050,333676164,333.676164
0x0415c6d6204b1360511f8961dd91b02e489d6ed6,327807123,327.807123
0xdbc1278e2275f6ab82d8b4a032bfc0e2a127f6b6,327807123,327.807123
0x35cf10a5d2a240b9cb7ac44442b8a326f6961e66,287594265,287.594265
0x2696cbf8ef06175cd2ddb80b928f7a8e81de1e3e,264861724,264.861724
0x12cf06fc70cbcbfd9e8e1676029f7189053ac981,190927340,190.92734
0xb903f6b23a14707eb4d0fb4e31c4c4e28edbb8e7,175474666,175.474666
0x0686bcd9e5a94d9f0b29ea7ce1887d8b2da21e86,175253216,175.253216
0x7d08f52539a8fa695b474513437b1ee8bf5112d7,164647207,164.647207
0xb2206f941a5206b55bfa33e665687523a8bced80,161371040,161.37104
0xa037feb6508a8c2f93bb19f6721730c45921f2d0,147270955,147.270955
0xe584099c39d0eae355c6b0f003767dd53dfb8f6a,142016596,142.016596
0xea7d3868a81bbbb8814afe37e199fc6ed49c3cae,122581269,122.581269
0xb7f78a12c040ab03eed909915a3605b91cb099f5,111862439,111.862439
0xdc6b04b4e40fde7c0e9ee1171f913febdbb4b88b,80714563,80.714563
0x24cd9d885fe462354e74bdc5361e0886441875dc,55109508,55.109508
0x7bd57425c60b32be5a7df107d3d119adf7c8a440,49690391,49.690391
0xd1b884c27726d782585a2807c9e919a92786b2db,49690391,49.690391
0x6f72faa82c120ca06e25d01d7123eff09257fcd3,43839476,43.839476
0xe425120dfcca03aee142d222a558eca316d68ffb,37252874,37.252874
0x3d3e5223330a00c76027852e5272f208e0e17031,37120099,37.120099
0x5b2eb37b05cb28dbce6d83ec25071860bc6b36cc,32780712,32.780712
0x8450451c0ade41470d7d376f72fd2e8e59d6af9d,32780712,32.780712
0x1bb6c8cb55a4abd964e53614d60eba9e2ab3059d,32780712,32.780712
0x20981700abe3283e1de60c77588201fb399634ee,25235487,25.235487
0x1d1f6bebab8a03a09fd2e28a2d152a912d4d87c9,22193263,22.193263
0x47e6c59d1aa905eb1e847c91e1248a35b8ac3ab4,20886264,20.886264
0x82d3871bcbb8a8e9b9db67471da9ec87ad8d653e,14920546,14.920546
0x1c088f9bf5c0c1bdd63df843f5fd328bc7a6e675,14070402,14.070402
0xc7d3aea5789630ff007d78b0c0cbcf516ed01328,13434957,13.434957
0xeb2b2a2ad1a726bcc17d43f7c198625fe8fd7d16,9330638,9.330638
0xdfc4f3454cc725c0a025d29268e7d0a03e8401f8,8720222,8.720222
0x22bd0ec1e8b733b77f8b35447b27cae41286f86e,8720222,8.720222
0x4ac887471a53186fc07877b9ab7ac1c639fee9e6,8720222,8.720222
0x8eb12be95e325376721dd6ddea39306171fac71d,6217838,6.217838
0x756672046297f17a1bfc4d592b22c6dfc4c35215,5624163,5.624163
0x3c5a725f73f9426a19c9258f85b7b60b3d8125a9,5598887,5.598887
0x22ec2a291bae09b5615c52b193d32dbd56385c30,5598887,5.598887
0x65f3ea02d4de5d10589beddaebebcd10231e8708,4996695,4.996695
0x13d6f5a180a8ff82e2e74847d9bc91b537b03a2e,4284223,4.284223
0xd5013d3802f2b870209058e0ff105bf97f8b822d,4238397,4.238397
0x342fd1b0d75966f88870cbbad9caf4afa04998e6,4183463,4.183463
0x955da9462c4960cf9aed82b111c12fb13704e09a,4183463,4.183463
0xe0b429fd64880a49df7e488722e676d51d13ed34,4183463,4.183463
0x550bf893a4dc87a76f99726581c8f6bbe87a028d,4060099,4.060099
0xea267bdd43d310734057e5dbdb02330528c21f05,4002851,4.002851
0x7b94f66d075f201c5f28059c73af3923c1d69a53,3953176,3.953176
0x233441646eba8e2cdd166e449db605e05e74abe2,3821649,3.821649
0xdc7cd28a98e780711d72cc0a7ab484b3ccf89910,3446437,3.446437
0x9bd0787873b50990c14ef9155d7a095753c22485,3233230,3.23323
0x9d22f2058b4ea321de701c75fb907d806e5922ba,2881206,2.881206
0x13edf0a12d119c961cfcafd238e4daa839324ddb,2714274,2.714274
0x3ec3637e54d54d1bd289c0272ccb4a665eecf725,2714274,2.714274
0x9692fefe6ffa3d45769cb6a8c9d11991fc143919,2371519,2.371519
0x880d1303b47cf2ca05ff0cd62543dc2752bf8b37,2109733,2.109733
0x1a5f2becc503a7d795bc8154061168856ef33c27,1976588,1.976588
0xad6000372440657550810e8cd337822821f321d9,1976588,1.976588
0xe29ca6542347879b0af2a534b865023adb9a39c0,1646685,1.646685
0xea2ca5022a73e881ea5716e6955ab665b46819cf,1415134,1.415134
0x625b192b5019bca08f4c312ba4319203e5e07e94,1252305,1.252305
0xb0fd5a878dbf3f9358a251caf9b6fc692a999ca7,734437,0.734437
0xf987062380be7b7bf5ce8fc9c75c8a00652de636,699214,0.699214
0x9ec2660d482f5ae9cdc6835af0a4f604701a93e5,672004,0.672004
0xf0177457dd06f99fa1973ada68903ddf3b6de2bd,556302,0.556302
0xe155fb7f921b46383d83cae0165a9717de04162f,552721,0.552721
0xbf2217e4d458b4219df6943853a053ad4db772fa,515604,0.515604
0x02e74f3b930f8443de58e9d3bd57fc6b1612e627,487214,0.487214
0x6bc21a147962a8399c82d50445a8b479e7817335,418346,0.418346
0xc25d144e6fc60f507864e83606dae5746b5ffa21,318428,0.318428
0x62720dac71d20ab6ca7e45f222dcfc77a69f9fb3,237299,0.237299
0x0896e95b1750843432d10ca0babf8bbd67d6c675,138360,0.13836
0x41e2a4646d4d04e1d31fc1d6cc2d221633e469e5,84149,0.084149
0xd99b54a04aa66af4b8f4066352a8353ac55f4766,69921,0.069921
0x895383ad6b172e00db94c29d5a5c60d61dc5bb2d,41834,0.041834
0xee3500175076c19cf45889fdfd2ec52029baca0c,37941,0.037941
0x5b357b6dfbc10151dd4775c70b5355a7c8498f29,30600,0.0306
0xd3448a4843981baeb66459faab20cb6e669419f4,14427,0.014427
0x9a4d3d8426479987dc5cea2637b4757d68ceca17,9385,0.009385
0x78eddc163275e9e254557313cad83d88e680c99f,0,0.0
0xe002bfb4106f3ccc1729eef333dc87a5411bb775,0,0.0
0xf991da2020b7d9613036792889d3b5384cabbfca,0,0.0
0xadf8936d5fd9dfc6438c982714681a1b3d5a83c2,0,0.0
0xce9787148249216e6010d0c8ea4c458b8e93909f,0,0.0
0xf28baad89cdfb9caeda0ca7bb4a978adbd432ed5,0,0.0
0x64ee2f93e3f18a46e4c6a7aca6c2eb9edb8c0ca0,0,0.0
0xdabd93cecd32b0474d0f798be56ac0888b9edc6b,0,0.0
0x6ba3525b364445f4ed3244ff0a151c8baea934ca,0,0.0
0x39c8b49ca48d266785a01cc2141eb936c2f11028,0,0.0
0x775e80246a1c3aac7ce389b481a8e74e1f2febcb,0,0.0
0xa3920714f9fdf92eca5e112017ab1d31cfcb8588,0,0.0
0x11be308ab7c4f0e330feb1f1f7ed5e21185b8066,0,0.0
0x4d58578253de8d9deb6a57faf43e0e3226c9629b,0,0.0
0x98e6269f33d3191b6e6dedd01e93c51cc14257d3,0,0.0
0x979b80a90e51318eb046a5b90e2f4c742e14366e,0,0.0
0x2eda6e34136f734e99cfda84fd62f2d5f2343b51,0,0.0
0xa8a98a84f2403dedf70cc77ccf524faf7431066b,0,0.0
0x765c6f7a13b989461165367d4c4f470d4b467f85,0,0.0
0xa2b7350ada8c594581c78962f01988600e611aa6,0,0.0
0x07a43459f8a515ef8eefa85d993285cf64d80f78,0,0.0
0x0ec01c8b47d83f4965f91a42dfdbbe391aad4b79,0,0.0
0xdd0fc492deca435a75a1f850240772e2664d3990,0,0.0
0xc6d5ed6d13bdb38ccb5c4b34f6f64fef6623ab2d,0,0.0
0x3f6b1945f22de27540fe293e35f1256594b7a13c,0,0.0
0x23ad30b8f1d8ba2f3ce3abeabd9666b9add798d6,0,0.0
0x3b5a2b705f21398c0329581570618082a7d4c12c,0,0.0
0x21fedf67de7a7dd7b01b83536d333d3b35a28c6d,0,0.0
0x2b3f6105b7802196728979e23099161312bf4140,0,0.0
0xfb0757a4a21a849ae6142341736976b3c86f00ab,0,0.0
0xff3cbb33c42049ba23c313f05f2907285ef9086f,0,0.0
